route_id,agency_id,route_short_name,route_long_name,route_type
ja_spl_anc,jadrolinija,SPU-AOI,Split - Ancona (Jadrolinija),4
ja_anc_spl,jadrolinija,AOI-SPU,Ancona - Split (Jadrolinija),4
ja_dub_bar,jadrolinija,DBV-BRI,Dubrovnik - Bari (Jadrolinija),4
ja_bar_dub,jadrolinija,BRI-DBV,Bari - Dubrovnik (Jadrolinija),4
ja_zad_anc,jadrolinija,ZAD-AOI,Zadar - Ancona (Jadrolinija),4
ja_anc_zad,jadrolinija,AOI-ZAD,Ancona - Zadar (Jadrolinija),4
ja_spl_sup,jadrolinija,SPU-SUP,Split - Supetar (Jadrolinija),4
ja_sup_spl,jadrolinija,SUP-SPU,Supetar - Split (Jadrolinija),4
ja_spl_sta,jadrolinija,SPU-STG,Split - Stari Grad (Jadrolinija),4
ja_sta_spl,jadrolinija,STG-SPU,Stari Grad - Split (Jadrolinija),4
