route_id,agency_id,route_short_name,route_long_name,route_type
ml_liv_olb,moby_lines,LIV-OLB,Livorno - Olbia (Moby),4
ml_olb_liv,moby_lines,OLB-LIV,Olbia - Livorno (Moby),4
ml_liv_bas,moby_lines,LIV-BAS,Livorno - Bastia (Moby),4
ml_bas_liv,moby_lines,BAS-LIV,Bastia - Livorno (Moby),4
ml_gen_olb,moby_lines,GOA-OLB,Genoa - Olbia (Moby),4
ml_olb_gen,moby_lines,OLB-GOA,Olbia - Genoa (Moby),4
ml_pio_olb,moby_lines,PIO-OLB,Piombino - Olbia (Moby),4
ml_olb_pio,moby_lines,OLB-PIO,Olbia - Piombino (Moby),4
ml_pio_pfe,moby_lines,PIO-PFE,Piombino - Portoferraio (Moby),4
ml_pfe_pio,moby_lines,PFE-PIO,Portoferraio - Piombino (Moby),4
ml_pal_olb,moby_lines,PMO-OLB,Palermo - Olbia (Moby),4
ml_olb_pal,moby_lines,OLB-PMO,Olbia - Palermo (Moby),4
ml_sta_bon,moby_lines,STE-BON,S.Teresa - Bonifacio (Moby),4
ml_bon_sta,moby_lines,BON-STE,Bonifacio - S.Teresa (Moby),4
