route_id,service_id,trip_id,trip_headsign,direction_id,trip_short_name
ml_liv_olb,daily,ml_liv_olb_1,Olbia,0,Moby Fantasy
ml_olb_liv,daily,ml_olb_liv_1,Livorno,0,Moby Fantasy
ml_liv_olb,daily,ml_liv_olb_2,Olbia,0,Moby Fantasy
ml_olb_liv,daily,ml_olb_liv_2,Livorno,0,Moby Fantasy
ml_liv_bas,daily,ml_liv_bas_1,Bastia,0,Moby Orli
ml_bas_liv,daily,ml_bas_liv_1,Livorno,0,Moby Orli
ml_gen_olb,daily,ml_gen_olb_1,Olbia,0,Moby Aki
ml_olb_gen,daily,ml_olb_gen_1,Genoa,0,Moby Aki
ml_pio_olb,daily,ml_pio_olb_1,Olbia,0,Moby Wonder
ml_olb_pio,daily,ml_olb_pio_1,Piombino,0,Moby Wonder
ml_pio_pfe,daily,ml_pio_pfe_1,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_1,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_2,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_2,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_3,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_3,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_4,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_4,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_5,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_5,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_6,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_6,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_7,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_7,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_8,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_8,Piombino,0,Moby Kiss
ml_pio_pfe,daily,ml_pio_pfe_9,Portoferraio,0,Moby Kiss
ml_pfe_pio,daily,ml_pfe_pio_9,Piombino,0,Moby Kiss
ml_pal_olb,daily,ml_pal_olb_1,Olbia,0,Vincenzo Florio
ml_olb_pal,daily,ml_olb_pal_1,Palermo,0,Vincenzo Florio
ml_sta_bon,daily,ml_sta_bon_1,Bonifacio,0,Giraglia
ml_bon_sta,daily,ml_bon_sta_1,S.Teresa Gallura,0,Giraglia
ml_sta_bon,daily,ml_sta_bon_2,Bonifacio,0,Giraglia
ml_bon_sta,daily,ml_bon_sta_2,S.Teresa Gallura,0,Giraglia
ml_sta_bon,daily,ml_sta_bon_3,Bonifacio,0,Giraglia
ml_bon_sta,daily,ml_bon_sta_3,S.Teresa Gallura,0,Giraglia
ml_sta_bon,daily,ml_sta_bon_4,Bonifacio,0,Giraglia
ml_bon_sta,daily,ml_bon_sta_4,S.Teresa Gallura,0,Giraglia
