route_id,agency_id,route_short_name,route_long_name,route_type
ml_odd_ebe,molslinjen,ODD-EBE,Odden - Ebeltoft (Molslinjen),4
ml_ebe_odd,molslinjen,EBE-ODD,Ebeltoft - Odden (Molslinjen),4
ml_odd_aar,molslinjen,ODD-AAR,Odden - Aarhus (Molslinjen),4
ml_aar_odd,molslinjen,AAR-ODD,Aarhus - Odden (Molslinjen),4
ml_ron_yst,molslinjen,RNN-YST,Rønne - Ystad (Bornholmslinjen),4
ml_yst_ron,molslinjen,YST-RNN,Ystad - Rønne (Bornholmslinjen),4
ml_ron_sas,molslinjen,RNN-SAS,Rønne - Sassnitz (Bornholmslinjen),4
ml_sas_ron,molslinjen,SAS-RNN,Sassnitz - Rønne (Bornholmslinjen),4
ml_ron_kog,molslinjen,RNN-KOG,Rønne - Køge (Bornholmslinjen),4
ml_kog_ron,molslinjen,KOG-RNN,Køge - Rønne (Bornholmslinjen),4
ml_hel_hel,molslinjen,HEL-HEL,Helsingør - Helsingborg (Øresundslinjen),4
ml_hel_hel_r,molslinjen,HEL-HEL,Helsingborg - Helsingør (Øresundslinjen),4
ml_kal_bal,molslinjen,KAL-BAL,Kalundborg - Ballen (Samsølinjen),4
ml_bal_kal,molslinjen,BAL-KAL,Ballen - Kalundborg (Samsølinjen),4
ml_boj_fyn,molslinjen,BOJ-FYN,Bøjden - Fynshav (Alslinjen),4
ml_fyn_boj,molslinjen,FYN-BOJ,Fynshav - Bøjden (Alslinjen),4
ml_spo_tar,molslinjen,SPO-TAR,Spodsbjerg - Tårs (Langelandslinjen),4
ml_tar_spo,molslinjen,TAR-SPO,Tårs - Spodsbjerg (Langelandslinjen),4
ml_esb_nor,molslinjen,ESB-NOR,Esbjerg - Nordby (Fanølinjen),4
ml_nor_esb,molslinjen,NOR-ESB,Nordby - Esbjerg (Fanølinjen),4
