trip_id,arrival_time,departure_time,stop_id,stop_sequence
sc_rod_put_1,,00:15:00,rodby,1
sc_rod_put_1,01:00:00,,puttgarden,2
sc_put_rod_1,,00:30:00,puttgarden,1
sc_put_rod_1,01:15:00,,rodby,2
sc_rod_put_2,,02:15:00,rodby,1
sc_rod_put_2,03:00:00,,puttgarden,2
sc_put_rod_2,,02:30:00,puttgarden,1
sc_put_rod_2,03:15:00,,rodby,2
sc_rod_put_3,,04:15:00,rodby,1
sc_rod_put_3,05:00:00,,puttgarden,2
sc_put_rod_3,,04:30:00,puttgarden,1
sc_put_rod_3,05:15:00,,rodby,2
sc_rod_put_4,,06:15:00,rodby,1
sc_rod_put_4,07:00:00,,puttgarden,2
sc_put_rod_4,,06:30:00,puttgarden,1
sc_put_rod_4,07:15:00,,rodby,2
sc_rod_put_5,,08:15:00,rodby,1
sc_rod_put_5,09:00:00,,puttgarden,2
sc_put_rod_5,,08:30:00,puttgarden,1
sc_put_rod_5,09:15:00,,rodby,2
sc_rod_put_6,,10:15:00,rodby,1
sc_rod_put_6,11:00:00,,puttgarden,2
sc_put_rod_6,,10:30:00,puttgarden,1
sc_put_rod_6,11:15:00,,rodby,2
sc_rod_put_7,,12:15:00,rodby,1
sc_rod_put_7,13:00:00,,puttgarden,2
sc_put_rod_7,,12:30:00,puttgarden,1
sc_put_rod_7,13:15:00,,rodby,2
sc_rod_put_8,,14:15:00,rodby,1
sc_rod_put_8,15:00:00,,puttgarden,2
sc_put_rod_8,,14:30:00,puttgarden,1
sc_put_rod_8,15:15:00,,rodby,2
sc_rod_put_9,,16:15:00,rodby,1
sc_rod_put_9,17:00:00,,puttgarden,2
sc_put_rod_9,,16:30:00,puttgarden,1
sc_put_rod_9,17:15:00,,rodby,2
sc_rod_put_10,,18:15:00,rodby,1
sc_rod_put_10,19:00:00,,puttgarden,2
sc_put_rod_10,,18:30:00,puttgarden,1
sc_put_rod_10,19:15:00,,rodby,2
sc_rod_put_11,,20:15:00,rodby,1
sc_rod_put_11,21:00:00,,puttgarden,2
sc_put_rod_11,,20:30:00,puttgarden,1
sc_put_rod_11,21:15:00,,rodby,2
sc_rod_put_12,,22:15:00,rodby,1
sc_rod_put_12,23:00:00,,puttgarden,2
sc_put_rod_12,,22:30:00,puttgarden,1
sc_put_rod_12,23:15:00,,rodby,2
sc_ged_ros_1,,06:00:00,gedser,1
sc_ged_ros_1,08:00:00,,rostock,2
sc_ros_ged_1,,06:30:00,rostock,1
sc_ros_ged_1,08:30:00,,gedser,2
sc_ged_ros_2,,08:30:00,gedser,1
sc_ged_ros_2,10:30:00,,rostock,2
sc_ros_ged_2,,09:00:00,rostock,1
sc_ros_ged_2,11:00:00,,gedser,2
sc_ged_ros_3,,11:00:00,gedser,1
sc_ged_ros_3,13:00:00,,rostock,2
sc_ros_ged_3,,11:30:00,rostock,1
sc_ros_ged_3,13:30:00,,gedser,2
sc_ged_ros_4,,13:30:00,gedser,1
sc_ged_ros_4,15:30:00,,rostock,2
sc_ros_ged_4,,14:00:00,rostock,1
sc_ros_ged_4,16:00:00,,gedser,2
sc_ged_ros_5,,16:00:00,gedser,1
sc_ged_ros_5,18:00:00,,rostock,2
sc_ros_ged_5,,16:30:00,rostock,1
sc_ros_ged_5,18:30:00,,gedser,2
sc_ged_ros_6,,18:30:00,gedser,1
sc_ged_ros_6,20:30:00,,rostock,2
sc_ros_ged_6,,19:00:00,rostock,1
sc_ros_ged_6,21:00:00,,gedser,2
sc_ged_ros_7,,21:00:00,gedser,1
sc_ged_ros_7,23:00:00,,rostock,2
sc_ros_ged_7,,21:30:00,rostock,1
sc_ros_ged_7,23:30:00,,gedser,2
