route_id,service_id,trip_id,trip_headsign,direction_id,trip_short_name
sc_rod_put,daily,sc_rod_put_1,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_1,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_2,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_2,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_3,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_3,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_4,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_4,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_5,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_5,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_6,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_6,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_7,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_7,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_8,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_8,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_9,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_9,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_10,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_10,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_11,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_11,Rødby,0,Deutschland
sc_rod_put,daily,sc_rod_put_12,Puttgarden,0,Deutschland
sc_put_rod,daily,sc_put_rod_12,Rødby,0,Deutschland
sc_ged_ros,daily,sc_ged_ros_1,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_1,Gedser,0,Berlin
sc_ged_ros,daily,sc_ged_ros_2,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_2,Gedser,0,Berlin
sc_ged_ros,daily,sc_ged_ros_3,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_3,Gedser,0,Berlin
sc_ged_ros,daily,sc_ged_ros_4,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_4,Gedser,0,Berlin
sc_ged_ros,daily,sc_ged_ros_5,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_5,Gedser,0,Berlin
sc_ged_ros,daily,sc_ged_ros_6,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_6,Gedser,0,Berlin
sc_ged_ros,daily,sc_ged_ros_7,Rostock,0,Berlin
sc_ros_ged,daily,sc_ros_ged_7,Gedser,0,Berlin
