route_id,agency_id,route_short_name,route_long_name,route_type
ste_bel_cai,stena_line,BEL-CAI,Belfast - Cairnryan (Stena Line),4
ste_cai_bel,stena_line,CAI-BEL,Cairnryan - Belfast (Stena Line),4
ste_bel_bir,stena_line,BEL-BIR,Belfast - Birkenhead (Stena Line),4
ste_bir_bel,stena_line,BIR-BEL,Birkenhead - Belfast (Stena Line),4
ste_hol_dub,stena_line,HLY-DUB,Holyhead - Dublin (Stena Line),4
ste_dub_hol,stena_line,DUB-HLY,Dublin - Holyhead (Stena Line),4
ste_fis_ros,stena_line,FIS-ROS,Fishguard - Rosslare (Stena Line),4
ste_ros_fis,stena_line,ROS-FIS,Rosslare - Fishguard (Stena Line),4
ste_hoh_har,stena_line,HVH-HAR,Hook of Holland - Harwich (Stena Line),4
ste_har_hoh,stena_line,HAR-HVH,Harwich - Hook of Holland (Stena Line),4
ste_got_fre,stena_line,GOT-FDH,Gothenburg - Frederikshavn (Stena Line),4
ste_fre_got,stena_line,FDH-GOT,Frederikshavn - Gothenburg (Stena Line),4
ste_got_kie,stena_line,GOT-KEL,Gothenburg - Kiel (Stena Line),4
ste_kie_got,stena_line,KEL-GOT,Kiel - Gothenburg (Stena Line),4
ste_tre_ros,stena_line,TRG-RSK,Trelleborg - Rostock (Stena Line),4
ste_ros_tre,stena_line,RSK-TRG,Rostock - Trelleborg (Stena Line),4
ste_kar_gdy,stena_line,KAR-GDY,Karlskrona - Gdynia (Stena Line),4
ste_gdy_kar,stena_line,GDY-KAR,Gdynia - Karlskrona (Stena Line),4
ste_nyn_ven,stena_line,NYN-VEN,Nynäshamn - Ventspils (Stena Line),4
ste_ven_nyn,stena_line,VEN-NYN,Ventspils - Nynäshamn (Stena Line),4
ste_tra_lie,stena_line,TRV-LPX,Travemünde - Liepāja (Stena Line),4
ste_lie_tra,stena_line,LPX-TRV,Liepāja - Travemünde (Stena Line),4
ste_vaa_ume,stena_line,VAA-UME,Vaasa - Umeå (Stena Line),4
ste_ume_vaa,stena_line,UME-VAA,Umeå - Vaasa (Stena Line),4
