route_id,service_id,trip_id,trip_headsign,direction_id,trip_short_name
vl_hel_sto,daily,VL_HEL_STO_1,Stockholm via Mariehamn,1,Gabriella
vl_sto_hel,daily,VL_STO_HEL_1,Helsinki via Mariehamn,1,Viking Cinderella
vl_tku_sto,daily,VL_TKU_STO_1,Stockholm via Åland,1,Viking Grace
vl_tku_sto,daily,VL_TKU_STO_2,Stockholm via Åland,1,Viking Glory
vl_sto_tku,daily,VL_STO_TKU_1,Turku via Åland,1,Viking Grace
vl_sto_tku,daily,VL_STO_TKU_2,Turku via Åland,1,Viking Glory
vl_hel_tal,daily,VL_HEL_TAL_1,Tallinn,1,Viking XPRS
vl_hel_tal,daily,VL_HEL_TAL_2,Tallinn,1,Viking XPRS
vl_hel_tal,daily,VL_HEL_TAL_3,Tallinn,1,Viking XPRS
vl_hel_tal,daily,VL_HEL_TAL_4,Tallinn,1,Viking XPRS
vl_tal_hel,daily,VL_TAL_HEL_1,Helsinki,1,Viking XPRS
vl_tal_hel,daily,VL_TAL_HEL_2,Helsinki,1,Viking XPRS
vl_tal_hel,daily,VL_TAL_HEL_3,Helsinki,1,Viking XPRS
vl_tal_hel,daily,VL_TAL_HEL_4,Helsinki,1,Viking XPRS
vl_kap_mar,daily,VL_KAP_MAR_1,Mariehamn,1,Rosella
vl_kap_mar,daily,VL_KAP_MAR_2,Mariehamn,1,Rosella
vl_mar_kap,daily,VL_MAR_KAP_1,Kapellskär,1,Rosella
vl_mar_kap,daily,VL_MAR_KAP_2,Kapellskär,1,Rosella
